,protein,r2score,rho,p-values,r2_mRNA_protein,r2_mRNA_protein_basic_linear_regression,p-val adj. BH
2911,HMBS,0.44548250247623467,0.728811059907834,5.730258625875599e-22,-0.8802290703761453,0.018355616591210256,2.7197865880824597e-21
6592,STAB1,0.500973833518553,0.7288049155145928,5.737041597728041e-22,0.32461878975078307,0.41132453814574005,2.721354722706412e-21
5829,RPL3,0.5113149997077777,0.728774193548387,5.771074289141257e-22,-0.2751242625827599,0.10011877631862362,2.7358389751310854e-21
206,AHSG,0.4681916918503962,0.7286943164362518,5.860484974560344e-22,-1.9707077311251453,0.05727300267587445,2.7765423059364634e-21
4014,MRPL19,0.41204015618895073,0.7286758832565283,5.881309599071491e-22,-0.5306357071640755,0.1797003570990978,2.7847217726354238e-21
1785,DIP2B,0.4718741290123726,0.7286574500768048,5.902206508531795e-22,0.38573871011536,0.4749688239993086,2.792925548078385e-21
6537,SREK1,0.43828554859517,0.7285714285714285,6.000688404992631e-22,-0.5107858683587385,0.10441134139767655,2.837810441587204e-21
2429,FOLR2,0.532587428884442,0.7283563748079876,6.25396960417218e-22,0.21410027841994927,0.39220636618951726,2.9558036401108632e-21
1807,DNAJA2,0.48296355778354094,0.7283502304147464,6.261357565435285e-22,0.2065588108461346,0.3989523272462131,2.9575083862822944e-21
6527,SPTLC2,0.4952549327386774,0.7282089093701996,6.433653365611753e-22,-0.026239504160033844,0.3459651709589955,3.037057128896508e-21
4154,MTURN,0.46528056122193295,0.7280687067116218,6.609159249322744e-22,0.38505008641092975,0.5201191448275212,3.118024345488691e-21
6842,TERF2IP,0.5411713929255069,0.7279815668202764,6.720588809001453e-22,-0.13232869852003648,0.1985934356487411,3.168682680169341e-21
305,ANG,0.5082797798000578,0.7279447004608294,6.768281989835311e-22,-0.3973862822341778,0.08653585528083305,3.1892470918368555e-21
185,AGO1,0.5657010444344623,0.727858678955453,6.880855557016322e-22,-1.6061637089504353,0.01679753454527269,3.240340286994682e-21
1421,CORO1B,0.5131790824073917,0.7277419354838709,7.036564014756055e-22,0.1688842708416718,0.34389393380877115,3.311672907546442e-21
7,AAMP,0.48722572134131825,0.7277357910906297,7.044853854943614e-22,-0.008074426978250893,0.28268485283214395,3.313580688717315e-21
2833,HDAC1,0.4718998504019378,0.7277235023041474,7.061462167208679e-22,0.024826827023037512,0.29640754155,3.317402827141519e-21
5583,RB1,0.45784383147089036,0.7277235023041474,7.061462167208679e-22,-0.02753000186539145,0.30802391702779097,3.317402827141519e-21
155,ADIPOQ,0.5325355359372743,0.7276112295758215,7.214980728169796e-22,-0.6020364464109733,0.038214570744274874,3.387489751245147e-21
7065,TNS3,0.4992155901823786,0.7275883256528416,7.246696935493458e-22,0.37077183770392674,0.43048376253845483,3.400339737818226e-21
5388,PTMS,0.48802210006979785,0.7275760368663593,7.2637699319427e-22,-0.01659611943569117,0.19925201483369476,3.406307458492554e-21
862,CAB39,0.5315397089492553,0.7274592933947771,7.427935588600236e-22,0.25860736278091334,0.398975965259384,3.4812050433811296e-21
4038,MRPL47,0.47555561341246744,0.7274039938556067,7.5069579201497395e-22,-0.28528546838742197,0.20794167345365797,3.516133224635405e-21
3562,LONP1,0.5028586780135187,0.7272811059907833,7.685514783741401e-22,0.2423943377849197,0.3433989155080322,3.5976120070870876e-21
3342,KCNAB2,0.5417354835811317,0.7272526183193871,7.727496197174883e-22,-0.10792735796714181,0.21521356305600725,3.615100194635283e-21
6753,TANGO2,0.517774037945715,0.7272258064516128,7.767212619956063e-22,-0.513988308629302,0.04747012237832773,3.629339134605515e-21
2001,EIF2D,0.5156040152413541,0.7272258064516128,7.767212619956063e-22,0.36386187036278783,0.4438511941308874,3.629339134605515e-21
5542,RALGAPB,0.4117253540340511,0.7272196620583717,7.776342356569418e-22,-1.1025276997770281,0.09790916991617571,3.631435815706626e-21
6074,SEC61A1,0.4874197795299351,0.7272135176651305,7.785482575970769e-22,0.2000086516632753,0.4069972331218729,3.633534887186357e-21
3229,IPO5,0.5251639169512095,0.7271643625192011,7.858983124070296e-22,0.403992758848294,0.4960950518171485,3.665650924059502e-21
1881,DPYSL3,0.4318428230085374,0.7270721966205836,7.998628056371572e-22,0.390482791492092,0.4989789965409662,3.7285618985064625e-21
340,ANXA1,0.5274738021521628,0.7270599078341013,8.017429557886437e-22,0.6476432497809816,0.7106267166703503,3.735100297902782e-21
517,ASAP2,0.5016722511578572,0.7270230414746542,8.07409346869188e-22,0.21161738960243348,0.41588583489214476,3.757023147656626e-21
4704,PAK1IP1,0.47863745854459294,0.7270230414746542,8.07409346869188e-22,-0.22002516522859206,0.21021428730644018,3.757023147656626e-21
5858,RPRD1B,0.33585666315036944,0.7269554531490015,8.178995103389409e-22,0.4213724752478527,0.5824189922699889,3.803573109317001e-21
5261,PRKCD,0.5033791623644973,0.7269493087557602,8.188597368673362e-22,0.17251393154551908,0.36787663575015617,3.805775913117233e-21
7705,ZC3H4,0.5183413436577642,0.726943164362519,8.198210646008923e-22,-0.4423218189303495,0.14995076620761294,3.807981215741199e-21
6089,SELENOP,0.480949391918424,0.7268817204301073,8.29495180073071e-22,0.017991554898568962,0.234930409108142,3.85062985076057e-21
3727,MAP7D1,0.5004391671767915,0.7267934502185812,8.435884325004599e-22,0.221036307534063,0.31794313301611005,3.913729963830722e-21
1498,CRTC3,0.42517469215438597,0.7267403993855606,8.521707945960861e-22,-0.6167592559802082,0.09039221433117514,3.951203293023465e-21
6883,THNSL1,0.5168143385268522,0.726721966205837,8.551727644271227e-22,-0.09066274301104338,0.22584995236962954,3.9627733195195225e-21
1776,DHX8,0.5269039499188679,0.7267158218125959,8.561757147706394e-22,0.18385534212417232,0.402083119346197,3.965071901086998e-21
3066,IGBP1,0.5021840362325141,0.7266543778801843,8.662686259083902e-22,-0.12573312927903157,0.16591743267908676,4.009439758494336e-21
1791,DLAT,0.5111811772739846,0.7265683563748079,8.805941972279356e-22,-0.20520397961905967,0.19145528854706412,4.068522038226174e-21
3162,IK,0.4479051019923501,0.7265683563748079,8.805941972279356e-22,-0.8729894940323264,0.008874146315330738,4.068522038226174e-21
3542,LLGL1,0.5343877959361956,0.7265683563748079,8.805941972279356e-22,-0.38280875820732274,0.14015247653841686,4.068522038226174e-21
749,BSG,0.5982879706706002,0.7261566820276496,9.524192648504659e-22,-0.39501291791253745,0.09462610821078546,4.397770655053332e-21
2287,FASTKD2,0.4978878172458687,0.7260706605222734,9.68134690729598e-22,-0.22910514107753177,0.162503133190155,4.4676988500807766e-21
461,ARHGEF5,0.46476839619982646,0.7260346192269909,9.747941818185422e-22,0.1102369677337558,0.33067318099401594,4.495778355061697e-21
5541,RALGAPA2,0.500410828572426,0.7259539170506911,9.898685266380814e-22,0.34325438351722903,0.4875271668875241,4.562611440991792e-21
4993,PLCB1,0.3706652484908455,0.7258690105523318,1.0059739824512841e-21,-0.5110684380354527,0.0871040284297475,4.6341157189245845e-21
3460,LAMB1,0.5265421985555649,0.7258494623655913,1.0097180654906298e-21,-0.07680874637917867,0.3579232456897167,4.648625490445972e-21
6493,SPATS2,0.4950856455616045,0.7258433179723501,1.0108977161788436e-21,0.39838645863567756,0.5032095573582749,4.6513187858534796e-21
199,AHCY,0.5119544473086026,0.7258064516129031,1.018003942952298e-21,0.2227020229859472,0.39436272983604037,4.681262105686582e-21
695,BIN3,0.4754355158886985,0.7257634408602149,1.0263562263466744e-21,-0.518381441034184,0.07718196699586125,4.71689682872132e-21
6759,TAP1,0.5933020320648267,0.7257572964669738,1.0275548608148052e-21,0.6280934200225117,0.6571185705344031,4.719632484611513e-21
4480,NPL,0.5043134110274727,0.7257184726866821,1.0351601941712355e-21,0.36032770214371035,0.5151476826082025,4.751774083807162e-21
924,CARM1,0.5304220272086482,0.7256651305683562,1.0456993137368949e-21,-0.061795752483037925,0.25607577963855865,4.797337262199409e-21
1687,DDX23,0.49605873732545447,0.7256282642089092,1.0530443959225815e-21,-0.015823584847595606,0.295443428997076,4.828202382711859e-21
2766,GTF3C4,0.5071742700513485,0.7255545314900153,1.0678860609592777e-21,-0.10268393823883204,0.35476618698681617,4.8933829928667076e-21
3473,LAP3,0.5546865467153659,0.725548387096774,1.0691320488866254e-21,0.4452444239934866,0.46919920016615246,4.896224172360178e-21
6147,SETD3,0.518015104243392,0.7254869431643624,1.0816702912745062e-21,0.09594625398946655,0.2589038841800608,4.9507460610586236e-21
4004,MRPL1,0.4174385817699866,0.7254623655913977,1.0867257045816617e-21,-0.3340590375421917,0.09837500503569074,4.970975708326174e-21
6734,TACO1,0.533978287679151,0.7254316436251919,1.09307743517439e-21,0.25128683025693355,0.4295399524430838,4.994189075896074e-21
2143,ERI1,0.5126274436750682,0.7254316436251919,1.09307743517439e-21,0.2925442084611366,0.47952482149462444,4.994189075896074e-21
961,CBX8,0.395242667147473,0.7253824884792625,1.1033157060426596e-21,-0.16547589608175794,0.28909922704431684,5.0380241988708016e-21
2403,FLNB,0.5919004659909177,0.7253333333333333,1.1136476280603502e-21,0.5434163828695633,0.6156188014743125,5.0822355581610615e-21
2164,ETFA,0.5074926952003017,0.725290322580645,1.1227655400032646e-21,-0.2773607201392303,0.18061141141749074,5.1208583404697e-21
1825,DNAJC19,0.4951767218954165,0.7252657450076804,1.128008472373995e-21,-0.616879112086288,0.09611331142920697,5.141772885145331e-21
1709,DDX6,0.4739710735899333,0.7252227342549923,1.137241206220035e-21,-0.7129536372798222,0.14260021026557887,5.180839088557434e-21
1663,DCTPP1,0.490426495093346,0.7252165898617511,1.1385661794713625e-21,0.36506497187983045,0.40359650829801497,5.183856027837601e-21
4981,PKP2,0.46721614844533965,0.7252043010752687,1.1412206511356192e-21,0.4099163472682126,0.46986947143172647,5.192919100164522e-21
5886,RPS6KA3,0.5120458080532733,0.7251367127496159,1.1559286555938929e-21,0.12080227050003989,0.3114467484794524,5.2567871767764125e-21
910,CAPN2,0.5286414283122316,0.7250937019969277,1.1653845268622267e-21,0.09659378167166499,0.33353227677828307,5.296709918138488e-21
4740,PAWR,0.4603046594029734,0.7249523809523809,1.1969888639101941e-21,-0.19385986261863342,0.21326851063167354,5.4371933179474674e-21
2989,HSP90AA1,0.4673190134097014,0.724921658986175,1.20396934559108e-21,0.21271533984467839,0.4062970933812007,5.465727348353702e-21
6789,TBC1D24,0.5380047701629567,0.7248909370199692,1.2109895847554633e-21,0.10220170760438574,0.28523557412299,5.494408661228094e-21
358,AP2A2,0.5192076762662828,0.7248786482334868,1.2138088619752892e-21,-0.02042984531094527,0.20609706996434987,5.5040074889105576e-21
5842,RPL7,0.48557118081573714,0.7248294930875575,1.2251502206394806e-21,-0.0271574722041672,0.16953194443217443,5.5522161215770666e-21
1043,CD4,0.5729659485864114,0.7247496159754224,1.2438010535215962e-21,0.18408930121932898,0.40731898831460195,5.6334752985789965e-21
2589,GLA,0.47290678853614276,0.7247434715821812,1.2452471651764365e-21,-0.5094914699886133,0.08440347098034347,5.636761184033615e-21
5904,RRM2,0.5437204802491169,0.7246681539089243,1.2631075320459428e-21,0.4118531152424534,0.5323547001162938,5.714301397144803e-21
446,ARHGAP9,0.5565394386052844,0.7246513056835637,1.2671369308653604e-21,0.49520104276549404,0.5917319716645477,5.729216805334595e-21
454,ARHGEF16,0.43897132329537847,0.7245661711995837,1.287690366362578e-21,0.5131808893270056,0.5800578053685352,5.8187833886124115e-21
7688,ZADH2,0.4795232446955796,0.7245345622119814,1.2954041067868507e-21,0.07799199729913431,0.35747042239969784,5.850260348317983e-21
5555,RAP1A,0.33365695098248926,0.7245222734254991,1.2984151854927366e-21,-0.2985820097126195,0.10594158578400902,5.860475234232075e-21
807,C1S,0.5572090792372593,0.7244669738863287,1.3120498548009433e-21,-0.04045819526355787,0.2547947545328191,5.9186009021066775e-21
5232,PRDX2,0.4368970280054323,0.7244055299539169,1.3273635304340888e-21,-0.8289069773170856,0.01133268936645544,5.9842291268331085e-21
7201,TRRAP,0.5034386584497036,0.7243809523809522,1.3335377618420926e-21,-0.3273362707456873,0.12505620316455593,6.0086015974244526e-21
6032,SCRN2,0.5356916340534226,0.724337941628264,1.3444102343506214e-21,0.03306096293560101,0.2818653140888105,6.054102966661232e-21
4788,PDCD5,0.4976494110195866,0.724301075268817,1.353798371870144e-21,0.2235270949004824,0.35111956355370655,6.092871613790717e-21
6216,SHTN1,0.574164399748024,0.7242150537634408,1.3759537450334646e-21,0.11442135462452452,0.39794417899428536,6.189022538040115e-21
5696,RGS10,0.6630005691911739,0.7242040507918459,1.3788130508820951e-21,0.2936839975436457,0.3923165720672464,6.196262085770693e-21
7299,TXNDC5,0.5485977841719843,0.7242027649769583,1.379147569844896e-21,0.5271149653204674,0.5917482742010274,6.196262085770693e-21
214,AIMP1,0.45082511732963637,0.7241105990783409,1.403333162203757e-21,-0.35231595053548537,0.0966441116519882,6.3013042449815084e-21
5587,RBBP6,0.5426175196887653,0.7240898341307895,1.4088390822507644e-21,-0.2740815745367038,0.15756707505438572,6.322397763261893e-21
3426,KPNA1,0.5162393780591674,0.7240675883256527,1.4147610690713743e-21,0.07184145990357804,0.37149213241842877,6.3453331893786064e-21
3724,MAP4K4,0.49695657751886924,0.7240491551459292,1.4196865231088842e-21,0.3207767500958353,0.4954267930189051,6.363775348858276e-21
7055,TNKS1BP1,0.615640319422238,0.7239569892473117,1.4445661233717351e-21,0.4717009622046553,0.5459212898394179,6.471590044108655e-21
6217,SIAE,0.5182751988814418,0.7238709677419354,1.4681710123963442e-21,0.4890490017816199,0.5532392000219489,6.5735739318627385e-21
