gene,category,ensemblGeneId,classification
BPIFB1,1,ENSG00000125999,protein_coding
BPIFB2,1,ENSG00000078898,protein_coding
BPIFB3,1,ENSG00000186190,protein_coding
BPIFB5P,2,ENSG00000233146,unitary_pseudogene
BPIFB4,1,ENSG00000186191,protein_coding
BPIFB6,1,ENSG00000167104,protein_coding
BPIFB9P,1,ENSG00000125997,transcribed_unitary_pseudogene
BPIFC,2,ENSG00000184459,protein_coding
BPTFP1,1,ENSG00000263647,unprocessed_pseudogene
BPNT1,0,ENSG00000162813,protein_coding
BPY2,2,ENSG00000183753,protein_coding
BPY2B,2,ENSG00000183795,protein_coding
BPTF,0,ENSG00000171634,protein_coding
BORCS8-MEF2B,1,ENSG00000064489,protein_coding
BPY2C,2,ENSG00000185894,protein_coding
BPY2DP,2,ENSG00000229745,unprocessed_pseudogene
BPIFA3,2,ENSG00000131059,protein_coding
BRAFP1,1,ENSG00000224775,unprocessed_pseudogene
BRAP,0,ENSG00000089234,protein_coding
BRAT1,0,ENSG00000106009,protein_coding
BRCC3P1,1,ENSG00000251667,processed_pseudogene
BRAF,0,ENSG00000157764,protein_coding
BRCC3,0,ENSG00000185515,protein_coding
BRD3,0,ENSG00000169925,protein_coding
BRD1,0,ENSG00000100425,protein_coding
BRCA2,1,ENSG00000139618,protein_coding
BRD3OS,1,ENSG00000235106,protein_coding
BRD2,0,ENSG00000204256,protein_coding
BRD7P1,2,ENSG00000259043,processed_pseudogene
BRCA1,1,ENSG00000012048,protein_coding
BRD4,0,ENSG00000141867,protein_coding
BRD7P6,2,ENSG00000235289,processed_pseudogene
BRD7P2,1,ENSG00000184100,processed_pseudogene
BRD7,0,ENSG00000166164,protein_coding
BRD7P4,1,ENSG00000218676,processed_pseudogene
BRD8,0,ENSG00000112983,protein_coding
BRD7P5,2,ENSG00000235768,processed_pseudogene
BRD9P1,2,ENSG00000254736,processed_pseudogene
BRD9P2,2,ENSG00000249908,transcribed_unprocessed_pseudogene
BRDTP1,2,ENSG00000271209,processed_pseudogene
BRD9,0,ENSG00000028310,protein_coding
BRI3,1,ENSG00000164713,protein_coding
BRI3BP,0,ENSG00000184992,protein_coding
BRDT,1,ENSG00000137948,protein_coding
BRF1,1,ENSG00000185024,protein_coding
BRI3BPP1,2,ENSG00000269136,processed_pseudogene
BRI3P1,1,ENSG00000225169,processed_pseudogene
BRICD5,1,ENSG00000182685,protein_coding
BRF2,1,ENSG00000104221,protein_coding
BRINP2,1,ENSG00000198797,protein_coding
BRINP1,1,ENSG00000078725,protein_coding
BRINP3,1,ENSG00000162670,protein_coding
BRIX1P1,2,ENSG00000254025,processed_pseudogene
BRIX1,0,ENSG00000113460,protein_coding
BRK1,0,ENSG00000254999,protein_coding
BRK1P2,2,ENSG00000227983,processed_pseudogene
BRMS1,0,ENSG00000174744,protein_coding
BRMS1L,0,ENSG00000100916,protein_coding
BROX,0,ENSG00000162819,protein_coding
BRK1P1,2,ENSG00000219870,processed_pseudogene
BRIP1,1,ENSG00000136492,protein_coding
BRPF3,1,ENSG00000096070,protein_coding
BRS3,1,ENSG00000102239,protein_coding
BRWD1-AS1,2,ENSG00000238141,lncRNA
BRPF1,0,ENSG00000156983,protein_coding
BRSK1,1,ENSG00000160469,protein_coding
BRWD1-AS2,1,ENSG00000255568,lncRNA
BRSK2,1,ENSG00000174672,protein_coding
BRWD1P1,2,ENSG00000215909,processed_pseudogene
BRWD1P3,1,ENSG00000232841,processed_pseudogene
BRWD1P2,2,ENSG00000258290,processed_pseudogene
BRWD1,1,ENSG00000185658,protein_coding
BRWD3,1,ENSG00000165288,protein_coding
BRWD1-IT1,1,ENSG00000237373,lncRNA
BSN,1,ENSG00000164061,protein_coding
BSN-AS1,1,ENSG00000235120,lncRNA
BSDC1,0,ENSG00000160058,protein_coding
BSN-DT,1,ENSG00000226913,lncRNA
BSNDP1,2,ENSG00000275048,processed_pseudogene
BSND,1,ENSG00000162399,protein_coding
BSG,0,ENSG00000172270,protein_coding
BSNDP2,1,ENSG00000274973,processed_pseudogene
BSNDP3,1,ENSG00000277508,processed_pseudogene
BSNDP4,2,ENSG00000229627,processed_pseudogene
BSPH1,2,ENSG00000188334,protein_coding
BSPRY,1,ENSG00000119411,protein_coding
BSCL2,0,ENSG00000168000,protein_coding
BST2,0,ENSG00000130303,protein_coding
BST1,0,ENSG00000109743,protein_coding
BSX,2,ENSG00000188909,protein_coding
BTBD1,0,ENSG00000064726,protein_coding
BTBD10P1,2,ENSG00000257675,processed_pseudogene
BTAF1,0,ENSG00000095564,protein_coding
BTBD10,1,ENSG00000148925,protein_coding
BTBD17,1,ENSG00000204347,protein_coding
BTBD16,1,ENSG00000138152,protein_coding
BTBD10P2,1,ENSG00000219433,processed_pseudogene
BTBD18,1,ENSG00000233436,protein_coding
BTBD19,1,ENSG00000222009,protein_coding
BTBD11,1,ENSG00000151136,protein_coding
BTBD6,1,ENSG00000184887,protein_coding
BTBD6P1,2,ENSG00000229106,processed_pseudogene
BTBD3,1,ENSG00000132640,protein_coding
BTBD7P1,1,ENSG00000203414,processed_pseudogene
BTBD7,1,ENSG00000011114,protein_coding
BTBD7P2,2,ENSG00000237618,processed_pseudogene
BTBD8,1,ENSG00000189195,protein_coding
BTBD2,0,ENSG00000133243,protein_coding
BTBD9-AS1,1,ENSG00000226533,lncRNA
BTC,1,ENSG00000174808,protein_coding
BTBD9,0,ENSG00000183826,protein_coding
BTF3L4,0,ENSG00000134717,protein_coding
BTF3L4P2,1,ENSG00000213189,processed_pseudogene
BTD,0,ENSG00000169814,protein_coding
BTF3L4P3,2,ENSG00000213108,processed_pseudogene
BTF3L4P1,1,ENSG00000232260,processed_pseudogene
BTF3P1,1,ENSG00000254225,processed_pseudogene
BTF3,0,ENSG00000145741,protein_coding
BTF3P10,1,ENSG00000231120,processed_pseudogene
BTF3P11,2,ENSG00000118903,processed_pseudogene
BTF3P13,2,ENSG00000227118,processed_pseudogene
BTF3P12,1,ENSG00000213003,processed_pseudogene
BTF3P15,2,ENSG00000237242,processed_pseudogene
BTF3P4,2,ENSG00000224820,processed_pseudogene
BTF3P2,2,ENSG00000258282,processed_pseudogene
BTF3L4P4,2,ENSG00000229226,processed_pseudogene
BTF3P14,2,ENSG00000262609,processed_pseudogene
BTF3P7,1,ENSG00000219986,processed_pseudogene
BTF3P9,2,ENSG00000224834,processed_pseudogene
BTG1P1,1,ENSG00000256720,processed_pseudogene
BTG2,1,ENSG00000159388,protein_coding
BTF3P8,1,ENSG00000236813,processed_pseudogene
BTG3-AS1,1,ENSG00000280594,lncRNA
BTG3,1,ENSG00000154640,protein_coding
BTF3P5,2,ENSG00000233594,processed_pseudogene
BTG3P1,2,ENSG00000235334,processed_pseudogene
BTF3P6,1,ENSG00000233956,processed_pseudogene
BTG4P1,2,ENSG00000248156,processed_pseudogene
BTG4,1,ENSG00000137707,protein_coding
BTN1A1,1,ENSG00000124557,protein_coding
BTG1,1,ENSG00000133639,protein_coding
BTN2A2,1,ENSG00000124508,protein_coding
BTN2A1,0,ENSG00000112763,protein_coding
BTK,0,ENSG00000010671,protein_coding
BTN3A1,1,ENSG00000026950,protein_coding
BTN3A3,0,ENSG00000111801,protein_coding
BTN3A2,1,ENSG00000186470,protein_coding
BTLA,1,ENSG00000186265,protein_coding
BTNL3,1,ENSG00000168903,protein_coding
BTNL2,2,ENSG00000204290,protein_coding
BTN2A3P,1,ENSG00000124549,transcribed_unprocessed_pseudogene
BTNL9,1,ENSG00000165810,protein_coding
BTNL8,1,ENSG00000113303,protein_coding
BUB1B-PAK6,2,ENSG00000259288,protein_coding
BTRC,1,ENSG00000166167,protein_coding
BUB1B,1,ENSG00000156970,protein_coding
BUB1P1,2,ENSG00000270778,processed_pseudogene
BUB3,0,ENSG00000154473,protein_coding
BUB3P1,1,ENSG00000227968,processed_pseudogene
BUD13P1,1,ENSG00000270689,processed_pseudogene
BUD13,0,ENSG00000137656,protein_coding
BUD23,0,ENSG00000071462,protein_coding
BUD31P1,2,ENSG00000253684,processed_pseudogene
BUD31P2,2,ENSG00000229661,processed_pseudogene
BUD31,0,ENSG00000106245,protein_coding
BVES,1,ENSG00000112276,protein_coding
BTNL10,2,ENSG00000215811,transcribed_unitary_pseudogene
BX004807.1,1,ENSG00000286429,lncRNA
BVES-AS1,1,ENSG00000203808,lncRNA
BX005019.1,1,ENSG00000259946,lncRNA
BX005040.1,2,ENSG00000275676,lncRNA
BX005040.3,2,ENSG00000277412,lncRNA
BX005040.2,2,ENSG00000276149,transcribed_processed_pseudogene
BX005040.4,2,ENSG00000283541,unprocessed_pseudogene
BX005132.1,2,ENSG00000284674,lncRNA
BX005214.1,2,ENSG00000224038,lncRNA
BX005195.1,2,ENSG00000276204,processed_pseudogene
BX005214.2,2,ENSG00000231140,lncRNA
BX005266.1,1,unidentified,unidentified
BUB1,1,ENSG00000169679,protein_coding
BX005266.2,1,ENSG00000226007,lncRNA
BX005266.3,1,ENSG00000234451,processed_pseudogene
BX072579.1,2,ENSG00000237699,lncRNA
BX088651.1,1,ENSG00000212952,processed_pseudogene
BX088651.3,2,ENSG00000230245,processed_pseudogene
BX088651.4,1,ENSG00000237357,lncRNA
BX088702.1,1,ENSG00000277598,processed_pseudogene
BX088723.1,2,ENSG00000283546,lncRNA
BX119904.1,2,ENSG00000224217,processed_pseudogene
BX005214.3,2,ENSG00000277024,transcribed_processed_pseudogene
BX119904.2,2,ENSG00000230159,lncRNA
BX072579.2,2,ENSG00000274766,lncRNA
BX088651.2,1,ENSG00000229311,lncRNA
BX119927.1,1,ENSG00000283178,unprocessed_pseudogene
BX119917.1,2,ENSG00000225471,transcribed_processed_pseudogene
BX248123.1,2,ENSG00000271985,processed_pseudogene
BX255923.1,1,ENSG00000225655,lncRNA
BX255923.2,1,ENSG00000276462,lncRNA
BX255925.1,1,ENSG00000260996,lncRNA
BX119321.1,2,ENSG00000233235,unprocessed_pseudogene
BX255925.2,2,ENSG00000270259,processed_pseudogene
BX276089.1,2,unidentified,unidentified
BX255925.3,1,ENSG00000284976,protein_coding
BX276092.1,3,ENSG00000224617,processed_pseudogene
BX255925.4,1,unidentified,unidentified
BX276092.2,2,ENSG00000226870,transcribed_unprocessed_pseudogene
BX276092.4,2,ENSG00000230934,processed_pseudogene
BX248409.1,2,ENSG00000225591,processed_pseudogene
BX276092.3,3,ENSG00000229030,processed_pseudogene
BX248415.1,2,ENSG00000285986,unprocessed_pseudogene
BX276092.8,2,ENSG00000237717,processed_pseudogene
BX276092.6,2,ENSG00000237182,processed_pseudogene
BX276092.9,1,ENSG00000283599,protein_coding
BX276092.7,1,ENSG00000237265,transcribed_unprocessed_pseudogene
BX284632.1,1,ENSG00000235893,processed_pseudogene
BX284632.2,1,ENSG00000237904,processed_pseudogene
BX284613.2,1,ENSG00000231424,lncRNA
BX284656.1,2,ENSG00000229275,lncRNA
BX284656.2,2,ENSG00000238192,lncRNA
BX284668.1,1,ENSG00000223643,lncRNA
BX276092.5,2,ENSG00000234442,transcribed_unprocessed_pseudogene
BX284668.2,2,ENSG00000228549,lncRNA
BX284668.3,2,ENSG00000230239,unprocessed_pseudogene
BX284668.4,1,ENSG00000235241,processed_pseudogene
BX284668.5,1,ENSG00000238142,lncRNA
BX284668.6,1,ENSG00000272426,lncRNA
BX293535.1,2,ENSG00000237429,lncRNA
BX284613.1,1,ENSG00000226552,processed_pseudogene
BX322234.2,2,ENSG00000233085,lncRNA
BX322534.1,2,ENSG00000282875,processed_pseudogene
BX322557.1,1,ENSG00000229382,lncRNA
BX322557.2,1,ENSG00000286262,lncRNA
BX322559.1,2,ENSG00000228355,lncRNA
BX322562.1,1,ENSG00000273796,lncRNA
BX322639.1,1,ENSG00000215146,transcribed_unprocessed_pseudogene
BX322650.1,1,ENSG00000183171,processed_pseudogene
BX322784.1,2,ENSG00000236852,processed_pseudogene
BX323014.1,2,ENSG00000224436,processed_pseudogene
BX323043.1,1,ENSG00000284652,lncRNA
BX323046.1,2,ENSG00000273175,lncRNA
BX323046.2,1,ENSG00000287601,lncRNA
BX323048.1,2,unidentified,unidentified
BX323845.1,2,ENSG00000224735,processed_pseudogene
BX323845.2,2,ENSG00000226110,processed_pseudogene
BX323845.3,2,ENSG00000229037,processed_pseudogene
BX293995.1,2,ENSG00000235991,unprocessed_pseudogene
BX324167.1,2,ENSG00000235091,lncRNA
BX295541.1,2,ENSG00000225858,processed_pseudogene
BX469938.1,2,ENSG00000287768,lncRNA
BX470102.1,1,ENSG00000238279,lncRNA
BX324167.2,1,ENSG00000279954,lncRNA
BX470111.1,1,unidentified,unidentified
BX322234.1,1,ENSG00000226445,lncRNA
BX470187.1,3,unidentified,unidentified
BX510359.1,2,ENSG00000224556,unprocessed_pseudogene
BX470209.1,2,ENSG00000226206,lncRNA
BX322635.1,1,ENSG00000270497,processed_pseudogene
BX510359.2,2,ENSG00000227058,unprocessed_pseudogene
BX470209.2,2,ENSG00000236507,lncRNA
BX510359.3,2,ENSG00000228771,unprocessed_pseudogene
BX510359.4,2,ENSG00000231593,unprocessed_pseudogene
BX510359.5,2,ENSG00000250084,unprocessed_pseudogene
BX537318.1,1,ENSG00000273145,lncRNA
BX470102.2,1,ENSG00000285867,lncRNA
BX537318.2,1,ENSG00000280424,TEC
BX510359.6,3,ENSG00000277289,processed_pseudogene
BX510359.7,2,ENSG00000278160,unprocessed_pseudogene
BX510359.8,3,ENSG00000278358,processed_pseudogene
BX539320.1,1,ENSG00000278869,lncRNA
BX546033.1,2,ENSG00000286801,lncRNA
BX546450.1,2,ENSG00000214915,lncRNA
BX546450.2,2,ENSG00000270052,lncRNA
BX547991.1,1,ENSG00000215065,processed_pseudogene
BX571673.1,2,ENSG00000277099,unprocessed_pseudogene
BX571818.1,1,ENSG00000285417,transcribed_unitary_pseudogene
BX640514.1,2,ENSG00000264490,lncRNA
BX640514.2,1,ENSG00000273812,lncRNA
BX640515.1,2,ENSG00000276786,lncRNA
BX649601.1,1,ENSG00000273473,lncRNA
BX664608.1,2,ENSG00000277490,processed_pseudogene
BX664615.1,1,ENSG00000229273,processed_pseudogene
BX664718.1,2,ENSG00000233424,lncRNA
BX664718.2,1,ENSG00000287276,transcribed_unprocessed_pseudogene
BX547991.2,2,ENSG00000265630,unprocessed_pseudogene
BX664725.1,2,ENSG00000224603,processed_pseudogene
BX571846.1,1,ENSG00000225393,lncRNA
BX649632.1,1,ENSG00000273249,lncRNA
BX664727.2,1,ENSG00000234812,processed_pseudogene
BX664615.2,1,unidentified,unidentified
BX664730.1,2,ENSG00000276898,lncRNA
BX679664.1,1,ENSG00000228665,processed_pseudogene
BX679664.2,2,ENSG00000237349,processed_pseudogene
BX679664.3,1,ENSG00000244716,processed_pseudogene
BX842242.1,1,ENSG00000285955,lncRNA
BX664727.1,2,ENSG00000224681,unprocessed_pseudogene
BX842559.2,1,ENSG00000233688,processed_pseudogene
BX664727.3,1,ENSG00000240240,lncRNA
BX842568.1,2,ENSG00000214071,unprocessed_pseudogene
BX842568.3,2,ENSG00000231069,transcribed_unprocessed_pseudogene
BX682237.1,2,ENSG00000224978,processed_pseudogene
BX842568.4,2,ENSG00000235510,unprocessed_pseudogene
BX842570.1,1,ENSG00000286431,lncRNA
BX842559.1,1,ENSG00000224069,processed_pseudogene
BX890604.1,2,ENSG00000225722,processed_pseudogene
BX927359.1,2,ENSG00000259037,lncRNA
BX890604.2,1,ENSG00000285756,lncRNA
BZW1,0,ENSG00000082153,protein_coding
BZW1P1,1,ENSG00000236686,processed_pseudogene
BX842568.2,1,ENSG00000223723,processed_pseudogene
BZW1P2,1,ENSG00000198406,processed_pseudogene
C10orf105,1,ENSG00000214688,protein_coding
C10orf120,2,ENSG00000183559,protein_coding
BZW2,0,ENSG00000136261,protein_coding
BYSL,0,ENSG00000112578,protein_coding
C10orf143,1,ENSG00000237489,protein_coding
BZW1-AS1,1,ENSG00000230408,lncRNA
C10orf53,1,ENSG00000178645,protein_coding
C10orf55,1,ENSG00000222047,lncRNA
C10orf62,1,ENSG00000203942,protein_coding
C10orf67,1,ENSG00000179133,protein_coding
C10orf113,1,unidentified,unidentified
C10orf88,1,ENSG00000119965,protein_coding
C10orf88B,1,ENSG00000255624,transcribed_processed_pseudogene
C10orf95,1,ENSG00000120055,protein_coding
C10orf71-AS1,1,ENSG00000236208,lncRNA
C10orf71,1,ENSG00000177354,protein_coding
C10orf90,1,ENSG00000154493,protein_coding
C10orf99,1,ENSG00000188373,protein_coding
C11orf21,1,ENSG00000110665,protein_coding
C10orf82,1,ENSG00000165863,protein_coding
C11orf1,1,ENSG00000137720,protein_coding
C11orf40,2,ENSG00000171987,lncRNA
C11orf24,1,ENSG00000171067,protein_coding
C11orf42,1,ENSG00000180878,protein_coding
C11orf45,1,ENSG00000174370,lncRNA
C11orf52,1,ENSG00000149300,protein_coding
C11orf16,1,ENSG00000176029,protein_coding
C11orf53,1,ENSG00000150750,protein_coding
C11orf58,0,ENSG00000110696,protein_coding
C11orf54,0,ENSG00000182919,protein_coding
C11orf68,0,ENSG00000175573,protein_coding
C11orf71,1,ENSG00000180425,protein_coding
C11orf86,1,ENSG00000173237,protein_coding
C11orf72,1,ENSG00000184224,lncRNA
C11orf88,1,ENSG00000183644,protein_coding
C11orf65,1,ENSG00000166323,protein_coding
C11orf91,1,ENSG00000205177,protein_coding
C11orf49,1,ENSG00000149179,protein_coding
C11orf94,1,ENSG00000234776,protein_coding
C11orf87,1,ENSG00000185742,protein_coding
C11orf97,1,ENSG00000257057,protein_coding
C11orf98P1,2,ENSG00000232158,processed_pseudogene
C11orf98,0,ENSG00000278615,protein_coding
C11orf80,1,ENSG00000173715,protein_coding
C11orf96,0,ENSG00000187479,protein_coding
C12orf4,0,ENSG00000047621,protein_coding
C12orf10,0,ENSG00000139637,protein_coding
C11orf95,1,ENSG00000188070,protein_coding
C12orf43,0,ENSG00000157895,protein_coding
C12orf45,0,ENSG00000151131,protein_coding
C12orf40,2,ENSG00000180116,protein_coding
C12orf29,0,ENSG00000133641,protein_coding
C12orf42,1,ENSG00000179088,protein_coding
C12orf50,2,ENSG00000165805,protein_coding
C12orf54,1,ENSG00000177627,protein_coding
C12orf57,0,ENSG00000111678,protein_coding
C12orf60,1,ENSG00000182993,protein_coding
C12orf56,1,ENSG00000185306,protein_coding
C12orf49,1,ENSG00000111412,protein_coding
C12orf71,1,ENSG00000214700,protein_coding
C12orf65,1,ENSG00000130921,protein_coding
C12orf66,1,ENSG00000174206,protein_coding
C12orf75,0,ENSG00000235162,protein_coding
C12orf76,1,ENSG00000174456,protein_coding
C12orf73,0,ENSG00000204954,protein_coding
C12orf77,1,ENSG00000226397,lncRNA
C14orf119,0,ENSG00000179933,protein_coding
C14orf178,1,ENSG00000197734,lncRNA
C14orf177,2,ENSG00000176605,lncRNA
C14orf180,1,ENSG00000184601,protein_coding
C14orf28,1,ENSG00000179476,protein_coding
C13orf42,1,ENSG00000226792,protein_coding
C13orf46,1,ENSG00000283199,protein_coding
C15orf32,2,ENSG00000183643,lncRNA
C14orf132,1,ENSG00000227051,protein_coding
C14orf39,1,ENSG00000179008,protein_coding
C15orf39,0,ENSG00000167173,protein_coding
C15orf48,0,ENSG00000166920,protein_coding
C15orf40,0,ENSG00000169609,protein_coding
C14orf93,1,ENSG00000100802,protein_coding
C15orf54,1,ENSG00000175746,lncRNA
C15orf62,1,ENSG00000188277,protein_coding
C15orf61,1,ENSG00000189227,protein_coding
C16orf54,1,ENSG00000185905,protein_coding
C16orf46,1,ENSG00000166455,protein_coding
C15orf65,1,ENSG00000261652,protein_coding
C15orf41,1,ENSG00000186073,protein_coding
C15orf56,1,ENSG00000176753,lncRNA
C16orf58,0,ENSG00000140688,protein_coding
C16orf70,0,ENSG00000125149,protein_coding
C16orf71,1,ENSG00000166246,protein_coding
C16orf74,1,ENSG00000154102,protein_coding
C16orf82,2,ENSG00000234186,protein_coding
C16orf78,2,ENSG00000166152,protein_coding
C16orf89,1,ENSG00000153446,protein_coding
C16orf86,1,ENSG00000159761,protein_coding
C16orf87,1,ENSG00000155330,protein_coding
C16orf91,1,ENSG00000174109,protein_coding
C16orf92,2,ENSG00000167194,protein_coding
C16orf95,1,ENSG00000260456,protein_coding
C16orf96,1,ENSG00000205832,protein_coding
C16orf72,1,ENSG00000182831,protein_coding
C16orf90,2,ENSG00000215131,protein_coding
C17orf107,1,ENSG00000205710,protein_coding
C17orf102,1,ENSG00000197322,lncRNA
C17orf113,1,ENSG00000267221,protein_coding
C17orf50,1,ENSG00000270806,protein_coding
C17orf49,1,ENSG00000258315,protein_coding
C17orf58,1,ENSG00000186665,protein_coding
C17orf67,1,ENSG00000214226,protein_coding
C17orf64,2,ENSG00000141371,protein_coding
C17orf100,1,ENSG00000256806,protein_coding
C17orf75,0,ENSG00000108666,protein_coding
C17orf78,1,ENSG00000278505,protein_coding
C17orf77,1,ENSG00000182352,lncRNA
C17orf99,1,ENSG00000187997,protein_coding
C17orf98,1,ENSG00000275489,protein_coding
C17orf97,0,ENSG00000187624,protein_coding
C18orf12,1,ENSG00000280197,TEC
C16orf97,2,ENSG00000261190,lncRNA
C18orf15,1,ENSG00000279020,TEC
C18orf21,0,ENSG00000141428,protein_coding
C17orf80,1,ENSG00000141219,protein_coding
C19orf12,0,ENSG00000131943,protein_coding
C19orf18,1,ENSG00000177025,protein_coding
C18orf54,1,ENSG00000166845,protein_coding
C19orf33,0,ENSG00000167644,protein_coding
C18orf32,0,ENSG00000177576,protein_coding
C19orf38,1,ENSG00000214212,protein_coding
C19orf25,0,ENSG00000119559,protein_coding
C18orf63,1,ENSG00000206043,protein_coding
C19orf44,1,ENSG00000105072,protein_coding
C18orf25,0,ENSG00000152242,protein_coding
C19orf53,0,ENSG00000104979,protein_coding
C19orf47,1,ENSG00000160392,protein_coding
C19orf48,1,ENSG00000167747,transcribed_unitary_pseudogene
C19orf57,1,ENSG00000132016,protein_coding
C19orf54,1,ENSG00000188493,protein_coding
C19orf73,1,ENSG00000221916,protein_coding
C19orf71,1,ENSG00000183397,protein_coding
C19orf81,1,ENSG00000235034,protein_coding
C19orf84,1,ENSG00000262874,protein_coding
C19orf85,1,ENSG00000283567,protein_coding
C1DP1,1,ENSG00000231245,processed_pseudogene
C1D,1,ENSG00000197223,protein_coding
C1DP2,2,ENSG00000236217,processed_pseudogene
C1DP3,2,ENSG00000224760,processed_pseudogene
C1DP5,1,ENSG00000254965,processed_pseudogene
C1GALT1C1,0,ENSG00000171155,protein_coding
C1GALT1,0,ENSG00000106392,protein_coding
C1GALT1P1,1,ENSG00000257818,processed_pseudogene
C1GALT1P2,1,ENSG00000251435,processed_pseudogene
C1GALT1P3,1,ENSG00000253544,processed_pseudogene
C19orf67,1,ENSG00000188032,protein_coding
C1QA,0,ENSG00000173372,protein_coding
C1QB,0,ENSG00000173369,protein_coding
C1QBPP1,2,ENSG00000215353,processed_pseudogene
C1QBP,0,ENSG00000108561,protein_coding
C1QBPP2,1,ENSG00000213409,processed_pseudogene
C1QL1,1,ENSG00000131094,protein_coding
C1QL1P1,2,ENSG00000260134,processed_pseudogene
C1QC,0,ENSG00000159189,protein_coding
C1DP4,2,ENSG00000227515,processed_pseudogene
C1QL3,1,ENSG00000165985,protein_coding
C1QL4,1,ENSG00000186897,protein_coding
C1QL2,1,ENSG00000144119,protein_coding
C1GALT1C1L,1,ENSG00000223658,protein_coding
C1QTNF12,1,ENSG00000184163,protein_coding
C1QTNF1,1,ENSG00000173918,protein_coding
C1QTNF3,0,ENSG00000082196,protein_coding
C1QTNF2,1,ENSG00000145861,protein_coding
C1QTNF4,1,ENSG00000172247,protein_coding
C1QTNF1-AS1,1,ENSG00000265096,lncRNA
C1QTNF6,1,ENSG00000133466,protein_coding
C1QTNF7,1,ENSG00000163145,protein_coding
C1QTNF7-AS1,1,ENSG00000249252,lncRNA
C1QTNF8,1,ENSG00000184471,protein_coding
C1QTNF9,1,ENSG00000240654,protein_coding
C1QTNF9-AS1,1,ENSG00000240868,lncRNA
C1QTNF9B,1,ENSG00000205863,protein_coding
C1QTNF3-AMACR,1,ENSG00000273294,protein_coding
C1RL-AS1,1,ENSG00000205885,lncRNA
C1R,0,ENSG00000159403,protein_coding
C1RL,0,ENSG00000139178,protein_coding
C1orf105,1,ENSG00000180999,protein_coding
C1QTNF5,0,ENSG00000223953,protein_coding
C1S,0,ENSG00000182326,protein_coding
C1orf115,1,ENSG00000162817,protein_coding
C1orf109,0,ENSG00000116922,protein_coding
C1orf122,0,ENSG00000197982,protein_coding
C1orf127,1,ENSG00000175262,protein_coding
C1orf112,1,ENSG00000000460,protein_coding
C1orf131,0,ENSG00000143633,protein_coding
C1orf146,2,ENSG00000203910,protein_coding
C1orf100,1,ENSG00000173728,protein_coding
C1orf116,1,ENSG00000182795,protein_coding
C1orf147,1,ENSG00000162888,lncRNA
C1orf162,1,ENSG00000143110,protein_coding
C1orf167-AS1,1,ENSG00000177553,lncRNA
C1orf167,1,ENSG00000215910,protein_coding
C1orf159,1,ENSG00000131591,protein_coding
C1orf141,1,ENSG00000203963,protein_coding
C1orf185,2,ENSG00000204006,protein_coding
C1orf189,1,ENSG00000163263,protein_coding
C1orf158,1,ENSG00000157330,protein_coding
C1orf194,1,ENSG00000179902,protein_coding
C1orf198,0,ENSG00000119280,protein_coding
C1orf21,0,ENSG00000116667,protein_coding
C1orf210,1,ENSG00000253313,protein_coding
C1orf216,1,ENSG00000142686,protein_coding
C1orf220,1,ENSG00000213057,lncRNA
C1orf174,0,ENSG00000198912,protein_coding
C1orf226,0,ENSG00000239887,protein_coding
C1orf229,1,ENSG00000221953,lncRNA
C1orf195,1,ENSG00000204464,lncRNA
C1orf232,2,ENSG00000282872,protein_coding
C1orf35,0,ENSG00000143793,protein_coding
C1orf52,0,ENSG00000162642,protein_coding
C1orf53,1,ENSG00000203724,protein_coding
C1orf43,1,ENSG00000143612,protein_coding
C1orf56,1,ENSG00000143443,protein_coding
C1orf68,2,ENSG00000198854,protein_coding
C1orf74,1,ENSG00000162757,protein_coding
C1orf54,1,ENSG00000118292,protein_coding
C1orf87,1,ENSG00000162598,protein_coding
C1orf50,0,ENSG00000164008,protein_coding
C20orf141,1,ENSG00000258713,protein_coding
C2-AS1,1,ENSG00000281756,lncRNA
C1orf94,1,ENSG00000142698,protein_coding
C20orf144,2,ENSG00000149609,protein_coding
C1orf61,1,ENSG00000125462,lncRNA
C20orf173,1,ENSG00000125975,protein_coding
C20orf181,2,ENSG00000279610,TEC
C20orf202,1,ENSG00000215595,protein_coding
C2,0,ENSG00000166278,protein_coding
C20orf197,1,ENSG00000176659,lncRNA
C20orf203,1,ENSG00000198547,protein_coding
C20orf204,1,ENSG00000196421,protein_coding
C20orf96,1,ENSG00000196476,protein_coding
C20orf27,1,ENSG00000101220,protein_coding
C20orf194,1,ENSG00000088854,protein_coding
C20orf85,1,ENSG00000124237,protein_coding
C21orf62-AS1,1,ENSG00000205930,lncRNA
C21orf62,1,ENSG00000205929,protein_coding
C21orf91,1,ENSG00000154642,protein_coding
C21orf91-OT1,1,ENSG00000240770,lncRNA
C21orf58,1,ENSG00000160298,protein_coding
C22orf15,1,ENSG00000169314,protein_coding
C22orf23,1,ENSG00000128346,protein_coding
C22orf31,1,ENSG00000100249,protein_coding
C22orf24,1,ENSG00000128254,lncRNA
C22orf42,1,ENSG00000205856,protein_coding
C22orf39,1,ENSG00000242259,protein_coding
C2CD2,0,ENSG00000157617,protein_coding
C2CD2L,1,ENSG00000172375,protein_coding
C2CD4A,1,ENSG00000198535,protein_coding
C2CD4B,1,ENSG00000205502,protein_coding
C2CD4C,1,ENSG00000183186,protein_coding
C2CD4D,1,ENSG00000225556,protein_coding
C22orf34,1,ENSG00000188511,lncRNA
