gene,category,ensemblGeneId,classification
AC009053.2,1,ENSG00000261079,lncRNA
AC009054.1,1,ENSG00000259999,lncRNA
AC009054.2,1,ENSG00000261783,lncRNA
AC009055.1,1,ENSG00000260364,lncRNA
AC009055.2,1,ENSG00000260834,lncRNA
AC009060.1,1,ENSG00000247228,lncRNA
AC009060.2,2,ENSG00000261145,processed_pseudogene
AC009061.1,1,ENSG00000261320,lncRNA
AC009063.1,2,ENSG00000259914,lncRNA
AC009061.2,1,ENSG00000270049,lncRNA
AC009063.3,1,ENSG00000261103,lncRNA
AC009063.4,2,unidentified,unidentified
AC009065.10,2,unidentified,unidentified
AC009063.2,1,ENSG00000260788,lncRNA
AC009065.5,1,ENSG00000261123,lncRNA
AC009065.4,1,ENSG00000260778,lncRNA
AC009065.3,1,ENSG00000260447,lncRNA
AC009065.2,1,ENSG00000259933,lncRNA
AC009065.9,1,unidentified,unidentified
AC009065.1,2,ENSG00000259780,lncRNA
AC009065.7,1,ENSG00000261532,lncRNA
AC009065.8,1,ENSG00000261663,lncRNA
AC009065.6,1,ENSG00000261240,lncRNA
AC009075.1,1,ENSG00000261673,lncRNA
AC009070.1,2,ENSG00000286221,protein_coding
AC009075.2,1,ENSG00000261774,processed_pseudogene
AC009078.1,2,ENSG00000213318,processed_pseudogene
AC009082.1,2,unidentified,unidentified
AC009078.2,1,ENSG00000240338,transcribed_unprocessed_pseudogene
AC009081.1,1,ENSG00000261310,lncRNA
AC009084.1,2,ENSG00000265408,lncRNA
AC009084.2,1,ENSG00000280334,TEC
AC009084.3,2,ENSG00000280416,TEC
AC009078.3,1,ENSG00000280152,TEC
AC009086.1,2,ENSG00000260514,processed_pseudogene
AC009086.2,1,ENSG00000279583,TEC
AC009081.2,1,ENSG00000261436,lncRNA
AC009087.1,2,ENSG00000260252,lncRNA
AC009088.3,1,ENSG00000261385,lncRNA
AC009088.1,1,unidentified,unidentified
AC009088.4,2,ENSG00000263343,processed_pseudogene
AC009090.1,1,ENSG00000260038,lncRNA
AC009090.2,1,ENSG00000260148,lncRNA
AC009088.2,1,ENSG00000260304,lncRNA
AC009090.3,1,ENSG00000276663,lncRNA
AC009090.4,1,ENSG00000279019,TEC
AC009090.5,1,ENSG00000279803,TEC
AC009090.6,1,ENSG00000285979,lncRNA
AC009093.1,1,ENSG00000259807,lncRNA
AC009093.2,1,ENSG00000260517,lncRNA
AC009093.3,2,ENSG00000260908,transcribed_unprocessed_pseudogene
AC009093.10,1,ENSG00000284685,lncRNA
