trial_index,arm_name,trial_status,generation_method,val_loss,block1_exists,block2_exists,fc2,hidden_size2,dropout2,fc3,dropout3,addMRNA,learning_rate,batch_size,block2_type,activation2,block3_type,activation3,root,fc1,hidden_size1,dropout1,block1_type,activation1,resNetComplexConnections1,resNetType1,resNetType2,resNetComplexConnections2
99,99_0,COMPLETED,BoTorch,0.7489722967147827,False,False,,,,,0.29837663066423836,False,0.0005509522290363066,64,,,resnet,tanh,true,,,,,,,,,
97,97_0,COMPLETED,BoTorch,0.7577056884765625,False,False,,,,,0.2146700416164673,False,0.0008274283364331565,64,,,resnet,tanh,true,,,,,,,,,
96,96_0,COMPLETED,BoTorch,0.7634228467941284,False,False,,,,,0.22309266485942617,False,0.000760940675346752,64,,,resnet,tanh,true,,,,,,,,,
84,84_0,COMPLETED,BoTorch,0.7643741965293884,True,False,,,,,0.31486498906192684,True,0.0036675013784690127,32,,,resnet,tanh,true,3.0,404.0,0.3472935177080522,fully_connect,sigmoid,,,,
86,86_0,COMPLETED,BoTorch,0.7677210569381714,True,False,,,,,0.32218207277864525,True,0.0032550888909408625,32,,,resnet,tanh,true,3.0,437.0,0.3271332622600263,fully_connect,sigmoid,,,,
95,95_0,COMPLETED,BoTorch,0.769307017326355,False,False,,,,,0.22722643690870123,False,0.0006947961901409119,64,,,resnet,tanh,true,,,,,,,,,
41,41_0,COMPLETED,BoTorch,0.7698721289634705,True,False,,,,,0.3001991302569485,True,0.003954220745859224,32,,,resnet,tanh,true,3.0,369.0,0.36944562990977237,fully_connect,sigmoid,,,,
51,51_0,COMPLETED,BoTorch,0.7699681520462036,True,False,,,,,0.31790853496924837,True,0.004260119307270761,32,,,resnet,tanh,true,3.0,365.0,0.3790893029082777,fully_connect,sigmoid,,,,
45,45_0,COMPLETED,BoTorch,0.7702962756156921,True,False,,,,,0.3168147996048108,True,0.003475059380463677,32,,,resnet,tanh,true,3.0,374.0,0.3940242147963801,fully_connect,sigmoid,,,,
85,85_0,COMPLETED,BoTorch,0.7703985571861267,True,False,,,,,0.32725814610539267,True,0.002761284241461643,32,,,resnet,tanh,true,3.0,470.0,0.3036716092363339,fully_connect,sigmoid,,,,
42,42_0,COMPLETED,BoTorch,0.7706028819084167,True,False,,,,,0.3101652403274102,True,0.0031709074863984065,32,,,resnet,tanh,true,3.0,363.0,0.3723622426823475,fully_connect,sigmoid,,,,
34,34_0,COMPLETED,BoTorch,0.7714475393295288,True,False,,,,,0.28391844678073475,True,0.003933205729027582,32,,,resnet,tanh,true,3.0,366.0,0.3541487074473328,fully_connect,sigmoid,,,,
65,65_0,COMPLETED,BoTorch,0.7718824744224548,True,False,,,,,0.31599577623835684,True,0.003919219744723594,32,,,resnet,tanh,true,3.0,398.0,0.34781850935820474,fully_connect,sigmoid,,,,
43,43_0,COMPLETED,BoTorch,0.7720081806182861,True,False,,,,,0.30820850927395504,True,0.0034746705889651254,32,,,resnet,tanh,true,3.0,366.0,0.378008687890166,fully_connect,sigmoid,,,,
37,37_0,COMPLETED,BoTorch,0.7731209993362427,True,False,,,,,0.332245741084955,True,0.0045019197850476615,32,,,resnet,tanh,true,3.0,376.0,0.3563760399230872,fully_connect,sigmoid,,,,
49,49_0,COMPLETED,BoTorch,0.7731826305389404,True,False,,,,,0.30247435983672416,True,0.0038803695872786795,32,,,resnet,tanh,true,3.0,369.0,0.3803095630777665,fully_connect,sigmoid,,,,
52,52_0,COMPLETED,BoTorch,0.7739759087562561,True,False,,,,,0.32286672329559635,True,0.004339265923511613,32,,,resnet,tanh,true,3.0,362.0,0.37610554609896285,fully_connect,sigmoid,,,,
53,53_0,COMPLETED,BoTorch,0.7740664482116699,True,False,,,,,0.3156293832413847,True,0.004116740669393064,32,,,resnet,tanh,true,3.0,371.0,0.3860846388638485,fully_connect,sigmoid,,,,
47,47_0,COMPLETED,BoTorch,0.7742765545845032,True,False,,,,,0.3184071913769471,True,0.0033410392919948936,32,,,resnet,tanh,true,3.0,375.0,0.4013231442021751,fully_connect,sigmoid,,,,
36,36_0,COMPLETED,BoTorch,0.7744132280349731,True,False,,,,,0.2729820215536404,True,0.0046189753166061545,32,,,resnet,tanh,true,3.0,376.0,0.3779649628734223,fully_connect,sigmoid,,,,
83,83_0,COMPLETED,BoTorch,0.7745236158370972,False,False,,,,,0.17938764922752715,False,0.000622419256627773,64,,,resnet,tanh,true,,,,,,,,,
44,44_0,COMPLETED,BoTorch,0.775327205657959,True,False,,,,,0.28945658104542205,True,0.003717311290535351,32,,,resnet,tanh,true,3.0,357.0,0.3108996428167553,fully_connect,sigmoid,,,,
50,50_0,COMPLETED,BoTorch,0.7757990956306458,True,False,,,,,0.3070410166057515,True,0.0032723410153060895,32,,,resnet,tanh,true,3.0,368.0,0.3718745510380369,fully_connect,sigmoid,,,,
30,30_0,COMPLETED,BoTorch,0.7773462533950806,True,False,,,,,0.23447490290964892,True,0.004935851284371479,32,,,resnet,tanh,true,3.0,373.0,0.42713597657580954,fully_connect,sigmoid,,,,
35,35_0,COMPLETED,BoTorch,0.7786815762519836,True,False,,,,,0.27698172666543414,True,0.005017696548975507,32,,,resnet,tanh,true,3.0,460.0,0.35158956652808027,fully_connect,sigmoid,,,,
33,33_0,COMPLETED,BoTorch,0.778739869594574,True,False,,,,,0.32738241433016707,True,0.004050714151384073,32,,,resnet,tanh,true,3.0,343.0,0.372544201523559,fully_connect,sigmoid,,,,
32,32_0,COMPLETED,BoTorch,0.7789056301116943,True,False,,,,,0.29091068757341537,True,0.008041124762716996,32,,,resnet,tanh,true,3.0,354.0,0.41497063855922217,fully_connect,sigmoid,,,,
94,94_0,COMPLETED,BoTorch,0.7807331681251526,False,False,,,,,0.23743699409054278,False,0.0006462522308417243,64,,,resnet,tanh,true,,,,,,,,,
31,31_0,COMPLETED,BoTorch,0.782405436038971,True,False,,,,,0.2605471576787188,True,0.006166485496384272,32,,,resnet,tanh,true,3.0,346.0,0.4114629835300876,fully_connect,sigmoid,,,,
29,29_0,COMPLETED,BoTorch,0.7845514416694641,True,False,,,,,0.239445043448372,True,0.004989354930050919,32,,,resnet,tanh,true,3.0,381.0,0.43864973838983623,fully_connect,sigmoid,,,,
68,68_0,COMPLETED,BoTorch,0.79497891664505,True,False,,,,,0.3390494692454582,True,0.0004557574158308343,64,,,resnet,selu,true,,251.0,0.21459540786317471,resnet,leaky_relu_slight,20.0,complex,,
72,72_0,COMPLETED,BoTorch,0.8015277981758118,True,False,,,,,0.22211389673912854,True,0.0004727430329665796,64,,,resnet,selu,true,,204.0,0.20688135408527658,resnet,leaky_relu_slight,21.0,complex,,
81,81_0,COMPLETED,BoTorch,0.8038227558135986,False,False,,,,,0.18055906671997843,False,0.0006164785157123334,64,,,resnet,tanh,true,,,,,,,,,
93,93_0,COMPLETED,BoTorch,0.8050450682640076,False,False,,,,,0.16733213223923765,False,0.0006150184357126749,64,,,resnet,tanh,true,,,,,,,,,
28,28_0,COMPLETED,BoTorch,0.8077305555343628,True,False,,,,,0.06304402984045704,True,0.0037392860574780597,32,,,resnet,tanh,true,3.0,369.0,0.5017308739655179,fully_connect,sigmoid,,,,
27,27_0,COMPLETED,BoTorch,0.809723973274231,True,False,,,,,0.09754578212754973,True,0.007891668414136823,32,,,resnet,tanh,true,3.0,377.0,0.46660484545363656,fully_connect,sigmoid,,,,
