protein,r2score,rho,p-values,r2_mRNA_protein,r2_mRNA_protein_basic_linear_regression,p-val adj. BH
FCER1G,0.6427400708198547,0.7830967741935483,3.870272517477471e-27,0.27063846588134766,0.439442057405927,4.419455712658216e-26
PDLIM4,0.5766159892082214,0.7830168970814131,3.948410835705358e-27,0.4202280044555664,0.47548684522226514,4.502109264852377e-26
SPR,0.6055880784988403,0.7829800307219661,3.9849934827742284e-27,0.2600334882736206,0.3791428058162115,4.537208009062593e-26
EFHD2,0.5195949077606201,0.7829493087557602,4.0157322859981084e-27,0.29578840732574463,0.37659639362605135,4.5655607472495934e-26
HSPA5,0.5776810646057129,0.782906298003072,4.05915684450807e-27,0.20052874088287354,0.46520563491717587,4.60823292274922e-26
RAB31,0.5765349268913269,0.7828878648233485,4.077907767677415e-27,0.5420606136322021,0.6231678784153782,4.6228108056192374e-26
MAD2L1,0.6282328963279724,0.7828448540706604,4.121990259527776e-27,0.47343504428863525,0.5519908257596059,4.6525552395420294e-26
DAPK3,0.5693951845169067,0.7828509984639016,4.115664320869384e-27,-0.3477334976196289,0.07673469116172031,4.6525552395420294e-26
PECR,0.587590754032135,0.7828448540706604,4.121990259527776e-27,0.24930274486541748,0.4200799685399965,4.6525552395420294e-26
CTHRC1,0.6091881990432739,0.7827403993855605,4.230998834959688e-27,0.4458746314048767,0.5772913954470517,4.768713672486265e-26
SYNCRIP,0.6390851140022278,0.7827281105990782,4.244007421831055e-27,0.24214017391204834,0.47130708927306314,4.7764929573471244e-26
TOMM70,0.54432612657547,0.7827035330261135,4.270142152059914e-27,0.23186355829238892,0.381168050866004,4.7990017116972196e-26
YLPM1,0.5932928919792175,0.7826728110599077,4.303032174623402e-27,-0.028412818908691406,0.3242273760032356,4.8290269253808103e-26
NUP153,0.5700881481170654,0.7826605222734254,4.316257501294829e-27,0.2365473508834839,0.4771736888215898,4.836929251451025e-26
DCTN1,0.5373318195343018,0.7825867895545313,4.3964490555997675e-27,-0.7662132978439331,0.008193558190490995,4.9197459961232306e-26
HCCS,0.6009253263473511,0.7825745007680489,4.4099553475808935e-27,0.31627970933914185,0.43379988515028,4.927810104111107e-26
PIP4K2A,0.5583421587944031,0.7824823348694315,4.512555314426773e-27,0.12233567237854004,0.3261815076360768,5.035265002774068e-26
ICAM1,0.6197617053985596,0.7824454685099845,4.554246316170623e-27,0.5140066146850586,0.5594104222442283,5.074546251436839e-26
ANXA6,0.5159014463424683,0.7824086021505376,4.596314267759889e-27,0.3717251420021057,0.46559220554968866,5.1141351639285706e-26
ARHGEF37,0.5620065331459045,0.7823594470046081,4.6529970018237854e-27,0.4174048900604248,0.46962998672416145,5.169849793787734e-26
LDB3,0.5398966073989868,0.7823022769629459,4.7197830179158714e-27,0.2159496545791626,0.3552372384123582,5.236615995196873e-26
RBSN,0.5281697511672974,0.7822611367127495,4.7684226735145286e-27,0.0573158860206604,0.2540001882330792,5.283088123545416e-26
ADA2,0.5600646734237671,0.7821136712749615,4.9468341908314574e-27,0.23120218515396118,0.3379716084586156,5.473003824707731e-26
DAP3,0.591391921043396,0.7820337941628264,5.046185030484086e-27,-0.22486722469329834,0.15992636943390223,5.575036625486797e-26
P3H3,0.5429572463035583,0.7819525772963416,5.149204089960904e-27,0.25608932971954346,0.38608209188584736,5.680828546075344e-26
PNN,0.5831497311592102,0.7818801843317972,5.242763812020505e-27,-0.16487538814544678,0.22271642679072226,5.775901202482309e-26
AGFG2,0.6159777641296387,0.7818678955453149,5.258810028169196e-27,0.5385648608207703,0.5881822189194504,5.78543066671441e-26
INPP4B,0.5610342025756836,0.7816651305683563,5.5306185559878364e-27,0.6106771230697632,0.6449298442597832,6.075912688895626e-26
FBP1,0.5888636708259583,0.7816589861751151,5.539066262576796e-27,0.7433913946151733,0.7514742372315157,6.076658668425765e-26
SERPINB1,0.5443501472473145,0.7816159754224268,5.598554869925713e-27,0.6657602787017822,0.6739128528950977,6.133318794476039e-26
ACSL4,0.5311195850372314,0.7815606758832564,5.6759597977650166e-27,0.45062577724456787,0.5056426419916412,6.209420634701813e-26
HLA-DRA,0.5992799401283264,0.7812903225806451,6.069719292162315e-27,0.34894120693206787,0.4702239581623249,6.630914008839891e-26
SRSF9,0.5529580116271973,0.7812718894009216,6.097519347380725e-27,0.13463085889816284,0.3156320809553727,6.651993910071413e-26
CDH13,0.5186326503753662,0.7811305683563747,6.3148336722092795e-27,0.1689942479133606,0.434874196873571,6.879474788860861e-26
ECHDC1,0.3324238061904907,0.7810937019969277,6.37275985432726e-27,0.2706669569015503,0.3500145249708268,6.932924559186068e-26
COBL,0.6058982014656067,0.7809690634460327,6.572475484476613e-27,0.31754910945892334,0.48177567978191244,7.140264338830009e-26
HNRNPAB,0.5670008659362793,0.780958525345622,6.589639454723396e-27,0.18806076049804688,0.3686053145048957,7.148981943806712e-26
NLN,0.5520271062850952,0.7808172043010752,6.824099753936801e-27,0.3971240520477295,0.5114137714789738,7.393089788821836e-26
MAK16,0.5006060600280762,0.7807496159754224,6.93910025114429e-27,0.002298593521118164,0.2169487778903983,7.507281073921249e-26
SRPK1,0.5807709693908691,0.7805960061443932,7.20756524035785e-27,0.5468447208404541,0.5862684108573907,7.786957915756782e-26
SUCLG2,0.5490332841873169,0.7805591397849462,7.273494369331626e-27,0.013600051403045654,0.19986296330168737,7.847347994056824e-26
GIT2,0.5358978509902954,0.780442396313364,7.486187962394568e-27,0.009388744831085205,0.2570404242781554,8.065697278491779e-26
PLIN2,0.5783491730690002,0.7804178187403992,7.531735145821928e-27,-0.4481590986251831,0.13167899494796537,8.103608295821062e-26
APBB2,0.5454509854316711,0.7803980362545854,7.568592986415007e-27,0.3911195397377014,0.48547195362020445,8.132078892821179e-26
FAM172A,0.6105502843856812,0.7803133640552995,7.728355357450126e-27,-0.12330806255340576,0.2368919131306656,8.292345076265415e-26
CPQ,0.4974551200866699,0.7802826420890935,7.787134844640495e-27,0.16244125366210938,0.36375174684968137,8.343968322572323e-26
RMDN3,0.5513519048690796,0.7802580645161289,7.834473275992448e-27,0.4627394676208496,0.47936160345571854,8.383207929522973e-26
NID2,0.592496395111084,0.7802089093701996,7.929996648437594e-27,-0.6077109575271606,0.08671854275199767,8.473829751923341e-26
AGR3,0.5641109943389893,0.7801949994236478,7.957234203532201e-27,0.3768572211265564,0.4894268136445499,8.491335053209943e-26
FAP,0.5979408025741577,0.7801768367387625,7.992937069827182e-27,0.5065315961837769,0.6230658366139636,8.51781386378586e-26
PES1,0.6246411800384521,0.7801591450423784,8.02786482560286e-27,0.46215391159057617,0.5102738704889566,8.54339573685246e-26
VARS1,0.5876545906066895,0.7801413210445467,8.063204829989927e-27,0.1364256739616394,0.3650134525337547,8.569346220133316e-26
PDIA5,0.5036848783493042,0.7799569892473117,8.437730617411045e-27,0.4163891077041626,0.4901131108296865,8.955214231938832e-26
POLR1E,0.5942116379737854,0.7798583696522186,8.645043494501318e-27,0.12588250637054443,0.23816026015660102,9.162808972085272e-26
MRPL44,0.47928160429000854,0.7796989247311827,8.990811243018422e-27,-0.36449503898620605,0.08391435407602252,9.516390465884993e-26
PMPCB,0.576508641242981,0.7796620583717356,9.07266501269006e-27,-0.4530423879623413,0.09507534409320047,9.590052125575899e-26
OPA1,0.573696494102478,0.7796497695852533,9.10011133981955e-27,0.01397716999053955,0.30780544980227265,9.606082442654322e-26
FBLIM1,0.5550363063812256,0.7793978494623655,9.681010044636882e-27,-0.18600308895111084,0.24911950721808301,1.0205506815249286e-25
EHD3,0.5932786464691162,0.7793302611367127,9.842937910620861e-27,-0.3633204698562622,0.12464980365748858,1.0362242306443657e-25
SERBP1,0.5962905287742615,0.7792258064516128,1.0098417412723584e-26,0.07775264978408813,0.31190534329122693,1.0616911425043533e-25
UBR7,0.5966149568557739,0.7792012288786482,1.0159467006531346e-26,0.2694593667984009,0.3914236165822479,1.0666758513434656e-25
PTPRF,0.5973945260047913,0.7790046082949307,1.066104305598223e-26,0.1324818730354309,0.3392161833917154,1.1163410814443508e-25
EIF4B,0.5017024278640747,0.7790046082949307,1.066104305598223e-26,-0.5768588781356812,0.04880409265938653,1.1163410814443508e-25
LRSAM1,0.5830520987510681,0.7789247311827955,1.0871660559891333e-26,-0.014633655548095703,0.21842441048887723,1.1353555260276368e-25
S100A4,0.6031794548034668,0.7789247311827955,1.0871660559891333e-26,0.49680793285369873,0.5673391649486118,1.1353555260276368e-25
MRPS5,0.588223397731781,0.7788141321044545,1.1170021205571469e-26,-0.08174169063568115,0.18145801889827684,1.1649587449330672e-25
DEPTOR,0.5848199129104614,0.7788018433179722,1.12036629848802e-26,0.6245648860931396,0.6600904366996073,1.1669114762680815e-25
ACTN4,0.5513827800750732,0.7787158218125958,1.1441947945597996e-26,-0.08124566078186035,0.27968820144294854,1.1901451706179192e-25
SART3,0.5866777300834656,0.7786973886328724,1.1493650623957446e-26,0.09142261743545532,0.2755522531201914,1.19393539416461e-25
RASIP1,0.5428787469863892,0.7785977179730259,1.1777199541303635e-26,0.17306417226791382,0.35400487079229037,1.2217673051999607e-25
FAF2,0.571549654006958,0.7784884792626727,1.20958335510793e-26,0.2746044397354126,0.48609040515732005,1.2515027782611413e-25
